Country;NightLights;Pop;id;GridCellArea;ElecPop;WindVel;GHI;TravelHours;Elevation;Slope;ResidentialDemandTierCustom;LandCover;SubstationDist;CurrentHVLineDist;CurrentMVLineDist;RoadDist;X_deg;Y_deg;TransformerDist;PlannedMVLineDist;PlannedHVLineDist;HydropowerDist;Hydropower;HydropowerFID;IsUrban;PerCapitaDemand;HealthDemand;EducationDemand;AgriDemand;ElectrificationOrder;Conflict;CommercialDemand;ResidentialDemandTier1;ResidentialDemandTier2;ResidentialDemandTier3;ResidentialDemandTier4;ResidentialDemandTier5;RoadDistClassified;SubstationDistClassified;LandCoverClassified;ElevationClassified;SlopeClassified;GridClassification;GridPenalty;WindCF;PopStartYear;ElecPopCalib;Pop2025High;Pop2025Low;Pop2030High;Pop2030Low;Pop2018;ElecStart;GridDistCalibElec;Elec_Initial_Status_Grid2018;Elec_Init_Status_Offgrid2018;Actual_Elec_Status_2018;FinalElecCode2018;GridReachYear
Nigeria;0;302.3540039;509250;0.027000001;0;4.659261703;1645;1.351658106;15.42480469;0.532621324;7.589996338;0;83.03199768;83.06400299;2.483999968;45.82099915;6.057424545;4.29055357;0;2.483999968;28.43899918;17.66397285;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.060004205;327.4198914;0;353.0402222;346.5521545;372.5589294;360.8988037;327.4198914;0;2.483999968;0;0;0;99;2018
Nigeria;1.271236658;120.941597;674205;0.009;120.941597;4.501538277;1645.01355;0.298035711;13.94775486;0.518039584;7.589996338;0;77.06900024;78.40100098;0.773999989;30.15399933;6.294083118;4.29417038;0;0.773999989;39.84400177;31.73459816;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.052604083;130.9679565;130.0603485;141.2160797;138.6208649;149.0235748;144.3595276;130.9679565;1;0.773999989;1;0;1;1;2018
Nigeria;1.271236658;1451.299194;674201;0.090000004;1088.474365;4.607407093;1644.574707;0.301762074;16.49705696;0.517315209;7.589996338;0;77.09600067;78.39399719;0.758000016;30.42099953;6.288106441;4.294251919;0;0.758000016;39.36800003;31.17502213;132.3049927;55;1;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.057522405;1571.615479;1560.724121;1694.593018;1663.450439;1788.282837;1732.314331;1571.615479;1;0.758000016;1;0;1;1;2018
Nigeria;0.49002707;1632.711548;674208;0.097999997;1632.711548;4.580001354;1638.474121;0.29419452;14.57778645;0.518048763;7.589996338;0;76.8789978;78.25299835;1.139000058;29.67700005;6.301818371;4.29554224;0;1.139000058;40.35599899;32.3780365;132.3049927;55;1;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.056229904;1768.067383;1755.814697;1906.417114;1871.381714;2011.818237;1948.853516;1768.067383;1;1.139000058;1;0;1;1;2018
Nigeria;0;241.883194;674210;0.027000001;0;4.431176186;1642;0.112974122;21;0.515875757;7.589996338;0;77.05500031;78.23999786;1.536000013;30.93300056;6.267971516;4.296112061;0;1.536000013;37.67599869;29.21903801;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.049448486;261.9359131;0;282.4321594;277.2417297;298.0471497;288.7190552;261.9359131;0;1.536000013;0;0;0;99;2018
Nigeria;1.525711894;1209.416016;674194;0.079000004;1209.416016;4.446308136;1642;0.145289212;16;0.514555693;7.589996338;0;77.1230011;78.15399933;0;32.15100098;6.24084568;4.298425674;0;0;35.50899887;26.66931152;132.3049927;55;1;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.050119363;1309.679565;1300.603516;1412.160889;1386.208618;1490.235718;1443.595215;1309.679565;1;0;1;0;1;1;2018
Nigeria;1.842608571;483.7663879;674198;0.061999999;483.7663879;4.228610516;1642.067993;0.142822012;16.4756546;0.514555693;7.589996338;0;76.92199707;77.98600006;0.782000005;31.70800018;6.246820927;4.299524307;0;0.782000005;35.84000015;27.11297226;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.040887654;523.8718262;520.241394;564.8643188;554.4834595;596.0942993;577.4381104;523.8718262;1;0.782000005;1;0;1;1;2018
Nigeria;1.808292031;60.47079849;674207;0.009;60.47079849;4.38404274;1643;0.108978219;23;0.514897346;7.589996338;11;76.83999634;77.91699982;0.925000012;31.53700066;6.249083996;4.300000191;0;0.925000012;35.96300125;27.27941132;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.047386371;65.48397827;65.03017426;70.60803986;69.31043243;74.51178741;72.17976379;65.48397827;1;0.925000012;1;0;1;1;2018
Nigeria;0.510587573;60.47079849;674195;0.009;60.47079849;4.570475101;1638;0.307801872;16;0.518776;7.589996338;11;76.3769989;77.76399994;1.215999961;29.125;6.30408287;4.300000191;0;1.215999961;40.20199966;32.33555222;132.3049927;55;0;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.055783775;65.48397827;65.03017426;70.60803986;69.31043243;74.51178741;72.17976379;65.48397827;1;1.215999961;1;0;1;1;2018
Nigeria;0;2479.302734;509247;0.123000003;0;4.730055809;1642.2052;1.518918753;20.31667519;0.534449875;7.589996338;0;83.41200256;83.25299835;2.476000071;48.06499863;6.02391386;4.300831795;0;2.476000071;27.24600029;16.86146355;132.3049927;55;1;186.7441864;0;0;0;0;0;0;9;50.930233;186.7441864;492.325592;696.0465088;2;1;1;5;5;2.950000048;1.042461753;0.063467704;2684.843018;0;2894.929688;2841.727783;3054.983154;2959.370117;2684.843018;0;2.476000071;0;0;0;99;2018
